PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1lt28,r1bqk2r/ppp2ppp/2n5/2bpp3/4n3/1B1P1N2/PPP1QPPP/RNB2RK1 b kq - 0 7,c8g4 d3e4,1315,97,65,26,advantage oneMove opening,https://lichess.org/0LE49Xc9/black#14,Russian_Game Russian_Game_Italian_Variation
1lt51,5r1k/5Npp/r7/4q3/4P1Q1/3p4/P5PP/5R1K b - - 0 29,f8f7 g4c8 e5e8 c8e8 f7f8 f1f8,1351,80,85,1088,backRankMate endgame fork long mate mateIn3,https://lichess.org/ncdi4rvZ/black#58,
1lt7I,r4rk1/pp3pp1/2ppb2p/2b5/4Pq2/1P3NNP/1PP2PP1/R2QR1K1 b - - 3 17,a8d8 g3h5 f4g5 f3g5,1295,78,83,332,crushing middlegame short trappedPiece,https://lichess.org/h8con4tn/black#34,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
1ltKx,1r6/p3kp2/4pNpp/1q3P2/rPpp2R1/P6P/K1P3Q1/1R6 w - - 1 34,f6e4 a4a3 a2a3 b5a6 a3b2 b8b4 b2c1 a6a3,2093,76,92,3286,attraction crushing deflection discoveredAttack interference middlegame sacrifice veryLong,https://lichess.org/ZTdAeyzZ#67,
1ltNF,2R1B3/5ppk/4p2p/1p1p3P/3b2P1/1r6/5P2/6K1 b - - 5 32,f7f5 e8g6,984,101,43,34,endgame mate mateIn1 oneMove,https://lichess.org/UHOYCCkJ/black#64,
1ltOm,2b4k/p1N4p/1pn1p1p1/3p2q1/3P4/2P5/r5BQ/5R1K b - - 2 31,h8g7 c7e8 g7g8 e8f6 g5f6 f1f6,1643,78,72,81,crushing long middlegame,https://lichess.org/cyd3We0n/black#62,
1ltOr,rn2k2r/1bq2ppp/p1pbp3/1p2N3/3PNBP1/P4Q2/1PP2P1P/R3K2R b KQkq - 0 12,c6c5 e4d6 c7d6 f3b7,1525,77,92,2975,crushing discoveredAttack middlegame short,https://lichess.org/oZRGqd05/black#24,French_Defense French_Defense_Paulsen_Variation
1ltPO,2r5/1p3p1k/3p3p/1P2bPr1/3pq3/7R/2PQ1RPP/7K w - - 1 33,d2g5 e4e1 f2f1 e1f1,877,100,95,433,endgame fork mate mateIn2 short,https://lichess.org/wRtUjNHQ#65,
1ltQQ,5rk1/N5pp/2Nbp3/pP3p2/3Pn1P1/3KP2P/5r2/R6R w - - 1 25,a1a5 f2d2 d3c4 d2c2 c4b3 c2c3 b3b2 f5g4,2547,88,85,350,crushing middlegame veryLong,https://lichess.org/Pbb9uzXy#49,
1ltQd,8/p4R2/7p/rP2k1p1/4p1P1/1P2P1K1/8/8 b - - 0 41,a5b5 f7f5 e5d6 f5b5,1050,78,79,81,crushing endgame rookEndgame short skewer,https://lichess.org/HNJMCVxg/black#82,
1ltSO,r3r1k1/2R2qpp/1B2bp2/4p3/pQ1p4/P7/P4PPP/1R4K1 b - - 3 31,f7f8 b6c5 f8f7 c7f7,1323,74,95,27588,advantage middlegame short trappedPiece,https://lichess.org/BheEV2fO/black#62,
1ltTL,5q2/4r1p1/p2p3k/3P1pRp/2PB1P1P/5bP1/PP1Q3K/8 w - - 0 35,d4f2 e7e2 d2d4 f8f6 d4f6 g7f6,1894,92,78,20,advantage endgame long pin,https://lichess.org/mHFq5Wko#69,
1ltTQ,7r/1R2bppp/3pk3/4p2q/2Q4P/4r1P1/P7/5RK1 b - - 1 29,d6d5 c4c6 e7d6 c6d7,1537,79,96,16194,mate mateIn2 middlegame short,https://lichess.org/rslGZCxy/black#58,
1ltU5,6k1/2bP1p1p/1p1N2p1/2p5/1r2P3/7P/6P1/3R3K b - - 2 34,b4d4 d1d4 c5d4 d6b5 c7d8 b5d4,1790,75,92,170,advantage endgame long,https://lichess.org/ILeult0I/black#68,
1ltXJ,r1br2k1/pp1p1p1Q/4p3/6N1/3n4/3B4/P1PK1PqP/8 b - - 1 18,g8f8 h7f7,1176,106,83,52,mate mateIn1 middlegame oneMove,https://lichess.org/B9QVf9Ze/black#36,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit
1ltYD,3rr1k1/p5bp/2q3pB/1p6/2ppPQ2/5B1P/PP3P2/R3K1R1 w Q - 0 27,e4e5 g7h6 f3c6 h6f4 c6e8 d8e8,2214,78,89,83,advantage long middlegame,https://lichess.org/YEjjJHff#53,
1ltZZ,2k1r3/1pR4R/1b6/p7/Q2p2p1/2P5/1P2q1P1/2K5 b - - 0 32,b6c7 a4d7 c8b8 d7c7 b8a7 c7b7,1390,75,97,15617,endgame long mate mateIn3,https://lichess.org/m9M9k0jd/black#64,
1ltaz,4r1k1/p3r2p/2p1Pp2/2np4/3N1b1P/2P5/PPK1R3/4R3 b - - 3 30,e7e6 d4e6 c5e6 e2e6 e8e6 e1e6,1585,79,76,41,crushing long middlegame,https://lichess.org/RjdAUKge/black#60,
1ltcX,6k1/1p1q1p1p/p5p1/3p1b2/3Q4/2PB2P1/PP3P1P/4K3 w - - 1 23,d3c4 d5c4 d4d7 f5d7,1915,74,88,1023,advantage endgame short,https://lichess.org/J2xmvVLd#45,
1ltfY,2rq1rk1/1b4p1/pnn5/1p1pP1NQ/3P1P2/1P2B1NP/P5K1/b6R b - - 3 24,d8e8 h5h7,921,77,100,107,master mate mateIn1 middlegame oneMove,https://lichess.org/4mKLO7mQ/black#48,
1ltkF,8/p4kp1/4p2p/1p2P3/6P1/2P4P/P4K2/8 b - - 0 30,g7g5 f2e3 f7e8 e3d4 e8d7 d4c5,1758,81,76,59,crushing endgame long pawnEndgame,https://lichess.org/Q0XCORi9/black#60,
1ltke,2q4k/ppp3p1/2nb2r1/4p1Bp/2B1P3/2P4P/PP3PP1/2Q2RK1 w - - 3 24,g5h4 c8h3 h4g3 g6g3 f2g3 d6c5 f1f2 h3g3,2103,92,82,38,advantage intermezzo kingsideAttack middlegame pin veryLong,https://lichess.org/9mmgi6Ks#47,
1lttE,6rk/1p2q2Q/3p1r2/p1p5/5P2/3B4/PPP5/1K5R b - - 0 32,e7h7 h1h7,870,102,94,406,endgame mate mateIn1 oneMove,https://lichess.org/Wy94fIZa/black#64,
1ltwB,5rk1/1b3ppp/p3p3/6q1/1pNBB3/4Q2n/PP3PPP/2R3K1 w - - 1 25,e3h3 g5c1,844,86,87,235,backRankMate hangingPiece master mate mateIn1 middlegame oneMove,https://lichess.org/l4dbpwj6#49,
1ltzY,4r1k1/1pq2pp1/pn2pnp1/2b1N3/2P1N2B/P6P/1P2QPP1/3rR1K1 w - - 0 24,e1d1 c7e5 e4f6 g7f6,1529,75,93,1561,advantage hangingPiece master middlegame short,https://lichess.org/OHMP4MKa#47,
